nets,vals
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.014
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
boardend,0.013
